Celebrity,Spouse,Start_Date,End_Date,End_Cause,Country,Occupation
Jiang Qing,Mao Zedong,1939-11-28,1976-09-09,death of subject's spouse,Republic of China,actor
Rita Hayworth,Orson Welles,1943-01-01,1947-01-01,,United States,actor
Vincent Cassel,Monica Bellucci,1999-08-02,2013-08-26,,France,actor
Richard Burton,Elizabeth Taylor,1975-10-10,1976-07-29,,United Kingdom of Great Britain and Ireland,actor
Rex Harrison,Lilli Palmer,1943-01-01,1957-01-01,divorce,United Kingdom,actor
Steven Spielberg,Kate Capshaw,1991-01-01,,,United States,actor
David Harbour,Lily Allen,2020-09-07,,,United States,actor
Annette Bening,Warren Beatty,1992-03-12,,,United States,actor
Johannes Heesters,Simone Rethel,1992-01-01,2011-01-01,,Kingdom of the Netherlands,actor
Jessica Biel,Justin Timberlake,2012-10-19,,,United States,actor
Madonna,Sean Penn,1985-08-16,1989-09-14,,United States,actor
Emma Thompson,Kenneth Branagh,1989-01-01,1995-01-01,,United Kingdom,actor
David Beckham,Victoria Beckham,1999-07-04,,,United Kingdom,actor
Fritz Lang,Thea von Harbou,1922-08-01,1933-04-01,,Germany,actor
Wolfgang Amadeus Mozart,Constanze Mozart,1782-08-04,1791-12-05,,Prince-Archbishopric of Salzburg,musician
Beyoncé,Jay-Z,2008-04-04,,,United States,actor
Zsa Zsa Gabor,Frédéric Prinz von Anhalt,1986-08-14,2016-12-18,death,Austria–Hungary,actor
Joanne Woodward,Paul Newman,1958-01-29,2008-09-26,death of subject's spouse,United States,actor
Jay-Z,Beyoncé,2008-04-04,,,United States,actor
Fritz Lang,Thea von Harbou,1922-08-01,1933-04-01,,Austria,actor
Hedy Lamarr,Friedrich Mandl,1933-01-01,1937-01-01,,Austria,actor
Hedy Lamarr,Friedrich Mandl,1933-01-01,1937-01-01,,Austria,musician
Zsa Zsa Gabor,Frédéric Prinz von Anhalt,1986-08-14,2016-12-18,death,United States,actor
Wim Wenders,Lisa Kreuzer,1974-01-01,1978-01-01,,Germany,actor
Carrie Fisher,Paul Simon,1983-08-16,1984-07-01,,United States,actor
Liam Hemsworth,Miley Cyrus,2018-12-23,2020-01-28,divorce,Australia,actor
Charlie Chaplin,Paulette Goddard,1936-01-01,1942-01-01,divorce,United Kingdom,actor
Marc Anthony,Jennifer Lopez,2004-06-01,2014-06-01,divorce,United States,actor
Courtney Love,Kurt Cobain,1992-01-01,1994-04-05,death of subject's spouse,United States,actor
Michael Douglas,Catherine Zeta-Jones,2000-11-18,,,United States,actor
Ashton Kutcher,Mila Kunis,2015-01-01,,,United States,actor
Richard Burton,Elizabeth Taylor,1964-03-15,1974-06-26,,United Kingdom of Great Britain and Ireland,actor
Javier Bardem,Penélope Cruz,2010-07-01,,,Spain,actor
Patricia Arquette,Nicolas Cage,1995-04-08,2001-05-18,,United States,actor
Jean-Louis Trintignant,Stéphane Audran,1954-11-18,1956-01-01,,France,actor
Roberto Rossellini,Ingrid Bergman,1950-01-01,1957-01-01,,Italy,actor
Anna Karina,Jean-Luc Godard,1961-01-01,1968-01-01,,France,actor
Jenna Jameson,Jay Grdina,2003-01-01,2006-01-01,,United States,actor
Angelina Jolie,Jonny Lee Miller,1996-03-28,1999-02-03,divorce,United States,actor
Sharon Tate,Roman Polanski,1968-01-20,1969-01-01,,United States,actor
Julie Andrews,Blake Edwards,1969-01-01,2010-12-15,death of subject's spouse,United Kingdom,actor
Isla Fisher,Sacha Baron Cohen,2010-01-01,2024-01-01,divorce,Australia,actor
Dannii Minogue,Julian McMahon,1994-01-02,1995-08-12,divorce,Australia,actor
Burgess Meredith,Paulette Goddard,1944-01-01,1949-01-01,,United States,actor
Orson Welles,Rita Hayworth,1943-09-07,1948-12-01,,United States,actor
Q102711,Katherine LaNasa,1989-06-17,1992-04-01,,United States,actor
Angelina Jolie,Brad Pitt,2014-08-23,2019-04-12,marital separation,United States,actor
Q16759,Ryan Sweeting,2013-12-31,2016-05-09,divorce,United States,actor
Iman,David Bowie,1992-01-01,2016-01-10,death of subject's spouse,United States,actor
Roberto Rossellini,Ingrid Bergman,1950-01-01,1957-01-01,,Kingdom of Italy,actor
Marilyn Monroe,Arthur Miller,1956-06-29,1961-01-24,divorce,United States,actor
James Cameron,Kathryn Bigelow,1989-08-17,1991-11-10,,New Zealand,actor
Shah Rukh Khan,Gauri Khan,1991-10-25,,,India,actor
Ingrid Bergman,Roberto Rossellini,1950-05-24,1957-11-07,,Sweden,actor
Ronald Reagan,Jane Wyman,1940-01-26,1949-07-01,divorce,United States,actor
