Celebrity,Spouse,Start_Date,End_Date,End_Cause,Country,Occupation
Dario Fo,Franca Rame,1954-06-24,2013-05-29,death of subject's spouse,Italy,actor
Gary Oldman,Lesley Manville,1987-01-01,1990-01-01,,United States,actor
Zsa Zsa Gabor,George Sanders,1949-04-02,1954-04-02,,Austria–Hungary,actor
Samuel L. Jackson,LaTanya Richardson,1980-01-01,,,United States,actor
Gary Oldman,Lesley Manville,1987-01-01,1990-01-01,,United Kingdom,actor
Nikita Mikhalkov,Anastasiya Vertinskaya,1966-01-01,1969-01-01,,Russia,actor
Ginger Rogers,Lew Ayres,1934-01-01,1940-01-01,,United States,actor
Sophia Loren,Carlo Ponti,1957-09-17,1962-08-31,,France,actor
Sophia Loren,Carlo Ponti,1957-09-17,1962-08-31,,Italy,actor
Alyson Hannigan,Alexis Denisof,2003-01-01,,,United States,actor
Mark Harmon,Pam Dawber,1987-01-01,,,United States,actor
Zsa Zsa Gabor,George Sanders,1949-04-02,1954-04-02,,United States,actor
Paulette Goddard,Burgess Meredith,1944-01-01,1949-01-01,,United States,actor
Michael Fassbender,Alicia Vikander,2017-10-14,,,West Germany,actor
Kate Beckinsale,Len Wiseman,2004-05-09,2019-01-01,,United Kingdom,actor
Khloé Kardashian,Lamar Odom,2009-09-27,2016-12-01,divorce,United States,actor
Kirk Douglas,Diana Douglas,1943-11-02,1951-02-23,,United States,actor
Naomi Watts,Billy Crudup,2023-01-01,,,United Kingdom,actor
Nicole Kidman,Keith Urban,2006-06-25,,,United States,actor
Sidney Poitier,Joanna Shimkus,1976-01-23,,,The Bahamas,actor
Emily Blunt,John Krasinski,2010-07-10,,,United States,actor
Emily Blunt,John Krasinski,2010-07-10,,,United Kingdom,actor
Jean Simmons,Stewart Granger,1950-12-20,1960-08-12,divorce,United States,actor
Nicole Kidman,Keith Urban,2006-06-25,,,Australia,actor
Jean Simmons,Stewart Granger,1950-12-20,1960-08-12,divorce,United Kingdom,actor
Cary Grant,Betsy Drake,1949-12-25,1962-01-01,,United States,actor
Natalie Wood,Robert Wagner,1972-01-01,1981-11-29,death,United States,actor
Cary Grant,Betsy Drake,1949-12-25,1962-01-01,,United Kingdom,actor
Barbra Streisand,Elliott Gould,1963-01-01,1971-01-01,divorce,United States,actor
Heather Locklear,Tommy Lee,1986-05-10,1993-01-01,divorce,United States,actor
Mariah Carey,Q348533,2008-04-30,2016-11-02,divorce,United States,actor
Elia Kazan,Barbara Loden,1967-01-01,1980-01-01,,United States,actor
Sophia Loren,Carlo Ponti,1966-04-09,2007-01-10,,France,actor
Sophia Loren,Carlo Ponti,1966-04-09,2007-01-10,,Italy,actor
Ashlee Simpson,Pete Wentz,2008-01-01,2011-01-01,,United States,actor
Morena Baccarin,Ben McKenzie,2017-06-02,,,United States,actor
Carole Bouquet,Jean-Pierre Rassam,1982-01-01,1985-01-28,death of subject's spouse,France,actor
Geena Davis,Renny Harlin,1993-09-18,1998-06-21,,United States,actor
Morena Baccarin,Ben McKenzie,2017-06-02,,,Brazil,actor
Kate Mara,Jamie Bell,2017-07-15,,,United States,actor
Richard Dawkins,Lalla Ward,1992-01-01,,,United Kingdom,actor
Téa Leoni,Tim Daly,2025-07-12,,,United States,actor
Roberto Rossellini,Assia Noris,1934-01-01,1936-01-01,,Italy,actor
Zsa Zsa Gabor,Conrad Hilton,1942-04-10,1947-01-01,,Austria–Hungary,actor
Jennifer Jones,Norton Simon,1971-01-01,1993-01-01,,United States,actor
Diane Kruger,Guillaume Canet,2001-09-01,2006-01-01,,Germany,actor
Shelley Winters,Anthony Franciosa,1957-01-01,1960-01-01,,United States,actor
Frank Zappa,Gail Zappa,1967-09-21,1993-12-04,death,United States,actor
Frank Zappa,Gail Zappa,1967-09-21,1993-12-04,death,United States,musician
Q129591,Deborra-Lee Furness,1996-01-01,2023-01-01,divorce,United Kingdom,actor
Q129591,Deborra-Lee Furness,1996-01-01,2023-01-01,divorce,United Kingdom,musician
Barbra Streisand,James Brolin,1998-01-01,,,United States,actor
Lily Allen,David Harbour,2020-09-07,,,United Kingdom,actor
Elizabeth Taylor,Eddie Fisher,1959-05-12,1964-03-05,divorce,United States,actor
Megan Fox,Brian Austin Green,2010-06-24,2021-10-15,divorce,United States,actor
Elizabeth Taylor,Eddie Fisher,1959-05-12,1964-03-05,divorce,United Kingdom,actor
Samuel L. Jackson,LaTanya Richardson,1980-01-01,,,Gabon,actor
Mandy Moore,Ryan Adams,2009-03-10,2016-06-01,divorce,United States,actor
Rani Mukerji,Aditya Chopra,2014-01-01,,,India,actor
Jane Fonda,Roger Vadim,1965-08-14,1973-01-01,,United States,actor
Roberto Rossellini,Assia Noris,1934-01-01,1936-01-01,,Kingdom of Italy,actor
Zsa Zsa Gabor,Conrad Hilton,1942-04-10,1947-01-01,,United States,actor
Jamie Lee Curtis,Christopher Guest,1984-12-18,,,United States,actor
Jennifer Hudson,David Otunga,,,,United States,actor
Jennifer Hudson,David Otunga,,,,United States,musician
Q129591,Deborra-Lee Furness,1996-01-01,2023-01-01,divorce,Australia,actor
Q129591,Deborra-Lee Furness,1996-01-01,2023-01-01,divorce,Australia,musician
Donald Trump,Melania Trump,2005-01-22,,,United States,actor
Dixie Carter,Hal Holbrook,1984-01-01,2010-01-01,,United States,actor
Harrison Ford,Melissa Mathison,1983-01-01,2004-01-01,,United States,actor
Sidney Poitier,Joanna Shimkus,1976-01-23,,,United States,actor
Rebecca Romijn,Jerry O'Connell,2007-01-01,,,United States,actor
Gloria Swanson,Wallace Beery,1916-01-01,1919-01-01,,United States,actor
Laetitia Casta,Louis Garrel,2017-06-10,,,France,actor
Gisele Bündchen,Tom Brady,2009-01-01,2022-01-01,divorce,Brazil,actor
Kelly Preston,Kevin Gage,1985-01-01,1987-01-01,,United States,actor
Edward James Olmos,Lymari Nadal,2002-01-01,,,United States,actor
Aaliyah,Damon Dash,2000-01-01,2001-01-01,,United States,actor
Katy Perry,Q296609,2010-10-23,2012-01-01,divorce,United States,actor
Jane Fonda,Tom Hayden,1973-01-01,1990-01-01,,United States,actor
Walt Disney,Lillian Disney,1925-07-13,1966-12-15,death of subject,United States,actor
Pamela Anderson,Tommy Lee,1995-02-19,1998-02-28,divorce,United States,actor
Carmen Electra,Dave Navarro,2003-01-01,2007-01-01,,United States,actor
Jean Simmons,Richard Brooks,1960-11-01,1977-01-01,divorce,United States,actor
Jean Simmons,Richard Brooks,1960-11-01,1977-01-01,divorce,United Kingdom,actor
Evan Rachel Wood,Jamie Bell,2012-10-30,2014-05-01,,United States,actor
Lucille Ball,Desi Arnaz,1940-11-30,1960-05-04,divorce,United States,actor
Humphrey Bogart,Mayo Methot,1938-08-21,1945-05-10,divorce,United States,actor
Alfred Molina,Jill Gascoine,1986-01-01,2020-04-28,date of death,United States,actor
Vincent Price,Coral Browne,1974-10-24,1991-01-01,death of subject's spouse,United States,actor
Vittorio Gassman,Juliette Mayniel,1964-01-01,1968-01-01,,Kingdom of Italy,actor
Alfred Molina,Jill Gascoine,1986-01-01,2020-04-28,date of death,United Kingdom,actor
Alain Delon,Nathalie Delon,1964-08-13,1969-02-14,divorce,Switzerland,actor
Bruce Willis,Emma Heming Willis,2009-03-27,,,United States,actor
Simon Baker,Rebecca Rigg,1998-01-01,2020-01-01,,Australia,actor
Salvador Dalí,Gala Dalí,1958-08-08,1982-06-10,,Spain,actor
Hugh Hefner,Crystal Harris,2012-12-31,2017-09-27,,United States,actor
Ursula Andress,John Derek,1957-01-01,1966-01-01,,Switzerland,actor
Joan Crawford,Franchot Tone,1935-10-12,1939-01-01,,United States,actor
Andrei Konchalovsky,Natalya Arinbasarova,1965-01-01,1969-01-01,,United States,actor
Maximilian Schell,Natalya Andrejchenko,1985-01-01,2005-01-01,,Austria,actor
John Cale,Betsey Johnson,1968-04-01,1971-01-01,divorce,United Kingdom,actor
Pierce Brosnan,Cassandra Harris,1980-01-01,1991-01-01,death of subject's spouse,United States,actor
Pierce Brosnan,Cassandra Harris,1980-01-01,1991-01-01,death of subject's spouse,United States,musician
Sandra Bullock,Jesse James,2005-07-16,2010-06-01,divorce,West Germany,actor
Alain Delon,Nathalie Delon,1964-08-13,1969-02-14,divorce,France,actor
Pierce Brosnan,Cassandra Harris,1980-01-01,1991-01-01,death of subject's spouse,United Kingdom,actor
Pierce Brosnan,Cassandra Harris,1980-01-01,1991-01-01,death of subject's spouse,United Kingdom,musician
Salman Rushdie,Padma Lakshmi,2004-01-01,2007-01-01,,India,actor
Marlon Brando,Anna Kashfi,1957-01-01,1959-01-01,,United States,actor
Celia Cruz,Pedro Knight,,,,United States,actor
Robert De Niro,Diahnne Abbott,1976-04-28,1988-01-01,divorce,United States,actor
Rita Hayworth,Prince Aly Khan,1949-05-27,1953-01-01,,United States,actor
Shirley Temple,John Agar,1945-01-01,1950-01-01,,United States,actor
Mikhail Bulgakov,Elena Sergeevna Bulgakova,1932-10-04,1940-03-10,,Soviet Union,actor
George C. Scott,Trish Van Devere,1972-09-04,1999-09-22,death of subject,United States,actor
John de Lancie,Marnie Mosiman,1984-03-20,,,United States,actor
George Harrison,Olivia Harrison,1978-09-02,2001-11-29,,United Kingdom,actor
George Harrison,Olivia Harrison,1978-09-02,2001-11-29,,United Kingdom,musician
Suzanne Pleshette,Troy Donahue,1964-01-01,1964-01-01,,United States,actor
Andrei Konchalovsky,Natalya Arinbasarova,1965-01-01,1969-01-01,,France,actor
Téa Leoni,David Duchovny,1997-01-01,2014-01-01,,United States,actor
Johannes Heesters,Louisa Ghijs,1930-01-01,1985-01-01,death,Kingdom of the Netherlands,actor
Pierce Brosnan,Cassandra Harris,1980-01-01,1991-01-01,death of subject's spouse,Ireland,actor
Pierce Brosnan,Cassandra Harris,1980-01-01,1991-01-01,death of subject's spouse,Ireland,musician
George Lucas,Marcia Lucas,1969-02-22,1983-01-01,,United States,actor
David Lynch,Mary Sweeney,2006-01-01,2007-01-01,divorce,United States,actor
David Lynch,Mary Sweeney,2006-01-01,2007-01-01,divorce,United States,musician
Mikhail Bulgakov,Elena Sergeevna Bulgakova,1932-10-04,1940-03-10,,Russian Empire,actor
Joan Crawford,Douglas Fairbanks Jr.,1929-06-03,1933-05-01,divorce,United States,actor
Charlie Parker,Chan Parker,,,,United States,musician
Robert De Niro,Diahnne Abbott,1976-04-28,1988-01-01,divorce,Italy,actor
Celia Cruz,Pedro Knight,,,,Cuba,actor
John Barrymore,Blanche Oelrichs,1920-01-01,1928-01-01,,United States,actor
Donald Sutherland,Shirley Douglas,1966-01-01,1970-01-01,,Canada,actor
Elizabeth Taylor,John Warner,1976-12-04,1982-11-07,divorce,United States,actor
Michèle Morgan,Gérard Oury,1960-01-01,2006-07-19,death of subject's spouse,France,actor
John Malkovich,Glenne Headly,1982-01-01,1988-01-01,,United States,actor
Elizabeth Taylor,John Warner,1976-12-04,1982-11-07,divorce,United Kingdom,actor
Jennifer Jason Leigh,Noah Baumbach,2005-01-01,2013-01-01,,United States,actor
Richard Harris,Ann Turkel,1974-06-07,1982-01-01,,Ireland,actor
Richard Harris,Ann Turkel,1974-06-07,1982-01-01,,Ireland,musician
Audrey Hepburn,Andrea Dotti,1969-01-18,1982-01-01,divorce,United Kingdom,actor
Andrei Konchalovsky,Natalya Arinbasarova,1965-01-01,1969-01-01,,Russia,actor
Peter Bogdanovich,Louise Stratten,1988-12-30,2001-01-01,,United States,actor
Miloš Forman,Jana Brejchová,1958-01-01,1962-01-01,divorce,Czechoslovakia,actor
Jennifer Jones,Robert Walker,1939-01-01,1945-01-01,,United States,actor
Peter Falk,Shera Danese,1977-01-01,2011-01-01,,United States,actor
Miriam Makeba,Stokely Carmichael,1969-01-01,1978-01-01,,South Africa,actor
Daniel Barenboim,Elena Bashkirova,1988-01-01,,,Spain,musician
Barry Levinson,Valerie Curtin,1975-01-01,1982-01-01,,United States,actor
Bob Dylan,Sara Dylan,1965-11-22,1977-06-29,,United States,actor
Bob Dylan,Sara Dylan,1965-11-22,1977-06-29,,United States,musician
Robert Rodriguez,Elizabeth Avellán Ochoa,1990-01-01,2006-01-01,,United States,actor
Sofía Vergara,Joe Manganiello,2015-11-21,2023-07-17,divorce,Colombia,actor
Cher,Gregg Allman,1975-01-01,1979-01-01,divorce,United States,actor
Patrick Wilson,Q521624,2005-01-01,,,United States,actor
Jean Dujardin,Alexandra Lamy,2009-07-25,2013-01-01,divorce,France,actor
Alla Pugacheva,Philipp Kirkorov,1994-03-15,2005-02-01,,Russia,actor
Anna Faris,Chris Pratt,2009-01-01,2017-01-01,,United States,actor
Boris Vian,Ursula Kübler,1954-01-01,1959-06-23,,France,actor
Boris Vian,Ursula Kübler,1954-01-01,1959-06-23,,France,musician
Roman Polanski,Barbara Kwiatkowska-Lass,1959-01-01,1962-01-01,divorce,France,actor
Anthony Quinn,Katherine DeMille,1937-01-01,1965-01-01,,United States,actor
Lyubov Orlova,Grigori Aleksandrov,,,,Russian Socialist Federative Soviet Republic,actor
Alla Pugacheva,Maxim Galkin,2011-12-23,,,Russia,actor
Bob Fosse,Gwen Verdon,1960-01-01,1987-09-23,death of subject,United States,actor
Daniel Barenboim,Elena Bashkirova,1988-01-01,,,Israel,musician
Eli Wallach,Anne Jackson,1948-03-05,2014-06-24,death of subject,United States,actor
Roman Polanski,Barbara Kwiatkowska-Lass,1959-01-01,1962-01-01,divorce,Poland,actor
Andrei Konchalovsky,Natalya Arinbasarova,1965-01-01,1969-01-01,,Soviet Union,actor
Maggie Cheung,Olivier Assayas,1998-01-01,2001-01-01,,United Kingdom,actor
Ingmar Bergman,Käbi Laretei,1959-01-01,1969-01-01,,Sweden,actor
Renée Zellweger,Kenny Chesney,2005-01-01,2005-01-01,divorce,United States,actor
Mickey Rooney,Martha Vickers,1949-06-03,1952-09-25,,United States,actor
Russell Crowe,Danielle Spencer,2003-04-07,2018-04-01,,New Zealand,actor
Adam Sandler,Jackie Sandler,2003-06-22,,,United States,actor
Adam Sandler,Jackie Sandler,2003-06-22,,,United States,musician
Matthew McConaughey,Camila Alves,2013-01-01,,,United States,actor
Daniel Barenboim,Elena Bashkirova,1988-01-01,,,Argentina,musician
Daniel Day-Lewis,Rebecca Miller,1996-01-01,,,United Kingdom,actor
Anthony Quinn,Katherine DeMille,1937-01-01,1965-01-01,,Mexico,actor
Sacha Guitry,Yvonne Printemps,1919-04-10,1934-11-07,,France,actor
Lyubov Orlova,Grigori Aleksandrov,,,,Soviet Union,actor
Halle Berry,Olivier Martinez,2013-07-13,2016-12-01,divorce,United States,actor
Idina Menzel,Taye Diggs,2003-01-11,2014-12-03,divorce,United States,actor
Sandra Bullock,Jesse James,2005-07-16,2010-06-01,divorce,United States,actor
Thalía,Tommy Mottola,2000-12-02,,,United States,actor
Marcel Duchamp,Alexina Duchamp,1954-01-16,1968-10-02,,United States,actor
Noomi Rapace,Ola Rapace,2001-01-01,2011-01-01,,Sweden,actor
Louis Armstrong,Lil Hardin Armstrong,1924-02-04,1938-01-01,,United States,actor
João Gilberto,Miúcha,1965-04-01,1971-01-01,,Brazil,musician
Rudolph Valentino,Natacha Rambova,1923-01-01,1925-01-01,,Kingdom of Italy,actor
Katherine Heigl,Josh Kelley,2007-12-23,,,United States,actor
Daniel Day-Lewis,Rebecca Miller,1996-01-01,,,Ireland,actor
Miriam Makeba,Stokely Carmichael,1969-01-01,1978-01-01,,Algeria,actor
Cillian Murphy,Yvonne McGuinness,2004-01-01,,,Ireland,actor
Cillian Murphy,Yvonne McGuinness,2004-01-01,,,Ireland,musician
Helen Mirren,Taylor Hackford,1997-12-31,,,United States,actor
Farrah Fawcett,Lee Majors,1973-07-28,1982-02-16,,United States,actor
Julia Roberts,Lyle Lovett,1993-06-25,1995-01-01,,United States,actor
Helen Mirren,Taylor Hackford,1997-12-31,,,United Kingdom,actor
Veronica Lake,André de Toth,1944-12-13,1952-06-02,,United States,actor
Bette Davis,Gary Merrill,1950-01-01,1960-01-01,,United States,actor
Bette Davis,Gary Merrill,1950-01-01,1960-01-01,,United States,musician
Amitabh Bachchan,Jaya Bachchan,1979-06-03,,,India,actor
Kevin Smith,Jennifer Schwalbach Smith,1999-01-01,,,United States,actor
Marcel Duchamp,Alexina Duchamp,1954-01-16,1968-10-02,,France,actor
Jean Renoir,Catherine Hessling,1920-01-24,1943-01-01,,France,actor
Sandra Bullock,Jesse James,2005-07-16,2010-06-01,divorce,Germany,actor
Mariah Carey,Tommy Mottola,1993-06-05,1998-03-05,divorce,United States,actor
Thalía,Tommy Mottola,2000-12-02,,,Mexico,actor
Patty Duke,John Astin,1972-01-01,1985-01-01,divorce,United States,actor
Marlon Brando,Tarita Teriipaia,1962-01-01,1972-01-01,,United States,actor
Salman Rushdie,Padma Lakshmi,2004-01-01,2007-01-01,,United States,actor
Salman Rushdie,Padma Lakshmi,2004-01-01,2007-01-01,,United Kingdom,actor
Daniel Barenboim,Elena Bashkirova,1988-01-01,,,Palestine,musician
Ian Holm,Penelope Wilton,1991-01-01,2001-01-01,,United Kingdom,actor
Uma Thurman,Ethan Hawke,1998-05-01,2005-08-01,,United States,actor
Peter Ustinov,Suzanne Cloutier,1954-01-01,1971-01-01,,United Kingdom,actor
Miloš Forman,Jana Brejchová,1958-01-01,1962-01-01,divorce,United States,actor
Carl Reiner,Estelle Reiner,1943-12-24,2008-10-25,death of subject's spouse,United States,actor
Robert Zemeckis,Mary Ellen Trainor,1980-01-01,2000-01-01,,United States,actor
Harold Lloyd,Mildred Davis,1923-01-01,1969-01-01,,United States,actor
Miloš Forman,Jana Brejchová,1958-01-01,1962-01-01,divorce,Czech Republic,actor
Donald Sutherland,Francine Racette,1972-01-01,2024-01-01,death of subject,Canada,actor
Vittorio Gassman,Juliette Mayniel,1964-01-01,1968-01-01,,Italy,actor
Lena Horne,Lennie Hayton,1947-12-14,1971-04-24,,United States,actor
Richard Strauss,Pauline de Ahna,,,,Germany,musician
Sofía Vergara,Joe Manganiello,2015-11-21,2023-07-17,divorce,United States,actor
Dan Aykroyd,Donna Dixon,1983-04-29,,,Canada,actor
Humphrey Bogart,Helen Menken,1926-05-20,1927-11-18,divorce,United States,actor
Ryan O'Neal,Leigh Taylor-Young,1967-02-28,1974-03-13,divorce,United States,actor
Maximilian Schell,Natalya Andrejchenko,1985-01-01,2005-01-01,,Switzerland,actor
Steven Soderbergh,Betsy Brantley,1989-12-02,1994-01-01,,United States,actor
Luc Besson,Anne Parillaud,1986-01-01,1991-01-01,,France,actor
Sergei Bondarchuk,Inna Makarova,1948-01-01,1956-01-01,,Soviet Union,actor
Kate Hudson,Chris Robinson,2000-12-31,2007-10-22,divorce,United States,actor
Georgiy Daneliya,Lyubov Sokolova,,,,Soviet Union,actor
Elisha Cuthbert,Ricardo Andrés Vega Torres,2013-01-01,,,Canada,actor
Caitlyn Jenner,Linda Thompson,1981-01-05,1986-01-01,divorce,United States,actor
Olivia Newton-John,John Easterling,2008-01-01,2022-01-01,,United Kingdom,actor
Brittany Murphy,Simon Monjack,2007-05-10,2009-12-20,death of subject,United States,actor
Brittany Murphy,Simon Monjack,2007-05-10,2009-12-20,death of subject,United States,musician
Polina Gagarina,Pyotr Kislov,2007-08-25,2010-03-31,,Russia,actor
Polina Gagarina,Pyotr Kislov,2007-08-25,2010-03-31,,Russia,musician
Bella Akhmadulina,Yuri Nagibin,,,,Soviet Union,actor
Olivia Newton-John,John Easterling,2008-01-01,2022-01-01,,Australia,actor
Mary Pickford,Owen Moore,1911-01-07,1920-03-02,divorce,Canada,actor
Axl Rose,Erin Everly,,,,United States,musician
Elisabeth Shue,Davis Guggenheim,1994-01-01,,,United States,actor
Jackie Chan,Chinchin Wan,1982-01-01,,,People's Republic of China,actor
Elton John,Renate Blauel,1984-02-14,1988-11-18,,United Kingdom,musician
Q181490,Jon Tenney,1994-01-01,2003-01-01,,United States,actor
Amy Acker,James Carpinello,2003-04-25,,,United States,actor
Asa Akira,Toni Ribas,2012-12-01,2017-01-01,,United States,actor
Sergei Bondarchuk,Irina Skobtseva,1959-01-01,1994-10-20,,Soviet Union,actor
Jenna Jameson,Brad Armstrong,1996-01-01,2001-01-01,,United States,actor
Kirsten Dunst,Jesse Plemons,2022-07-01,,,United States,actor
Annie Girardot,Renato Salvatori,1962-01-06,1988-03-27,death of subject's spouse,France,actor
Natalia Oreiro,Ricardo Mollo,,,,Russia,actor
Tina Fey,Jeff Richmond,2001-06-03,,,United States,actor
Ashlee Simpson,Evan Ross,2014-01-01,,,United States,actor
Jane Russell,Bob Waterfield,1943-01-01,1968-01-01,,United States,actor
Imelda Staunton,Jim Carter,1983-01-01,,,United Kingdom,actor
Cyd Charisse,Tony Martin,1948-01-01,2008-01-01,,United States,actor
Anna Karina,Daniel Duval,1978-01-01,1981-01-01,,France,actor
Donna Reed,William J. Tuttle,1943-01-01,1945-01-01,,United States,actor
Timothy Leary,Nena von Schlebrügge,1964-01-01,1965-01-01,,United States,actor
Gwyneth Paltrow,Chris Martin,2004-01-01,2015-01-01,divorce,United States,actor
Gwyneth Paltrow,Chris Martin,2004-01-01,2015-01-01,divorce,United States,musician
Vanessa Paradis,Samuel Benchetrit,2018-06-30,,,France,actor
Kirsten Dunst,Jesse Plemons,2022-07-01,,,Germany,actor
Ben Gazzara,Janice Rule,1961-01-01,1979-01-01,,United States,actor
Natalia Oreiro,Ricardo Mollo,,,,Uruguay,actor
Sándor Petőfi,Júlia Szendrey,1847-09-08,1849-01-01,,Hungary,actor
Lucy Lawless,Rob Tapert,1998-01-01,,,New Zealand,actor
Carroll Baker,Jack Garfein,1955-01-01,1969-01-01,,United States,actor
Neve Campbell,John Light,2007-05-05,2011-01-01,divorce,Canada,actor
Song Joong-ki,Song Hye-kyo,,,,South Korea,actor
John Carpenter,Sandy King,1990-01-01,,,United States,actor
Jackie Chan,Chinchin Wan,1982-01-01,,,United States,actor
Claire Foy,Stephen Campbell Moore,2014-01-01,2018-01-01,marital separation,United Kingdom,actor
Hilary Duff,Mike Comrie,2010-01-01,2016-01-01,,United States,actor
Jackie Chan,Chinchin Wan,1982-01-01,,,British Hong Kong,actor
Debra Winger,Arliss Howard,1996-01-01,,,United States,actor
Bruce Lee,Linda Lee Cadwell,1964-01-01,1973-01-01,,United States,actor
Meryl Streep,Don Gummer,1978-09-30,2017-01-01,divorce,United States,actor
Joan Fontaine,Brian Aherne,1939-08-21,1945-01-01,,United States,actor
Triple H,Stephanie McMahon,2003-01-01,,,United States,actor
Joan Fontaine,Brian Aherne,1939-08-21,1945-01-01,,United Kingdom,actor
Bruce Lee,Linda Lee Cadwell,1964-01-01,1973-01-01,,British Hong Kong,actor
Angela Bassett,Courtney B. Vance,1997-01-01,,,United States,actor
Rene Russo,Dan Gilroy,1992-01-01,,,United States,actor
Neil Patrick Harris,David Burtka,2014-09-01,,,United States,actor
Neil Patrick Harris,David Burtka,2014-09-01,,,United States,musician
Anthony Perkins,Berry Berenson,1973-01-01,1992-01-01,,United States,actor
Florence Griffith Joyner,Al Joyner,,,,United States,athlete
Gwyneth Paltrow,Chris Martin,2004-01-01,2015-01-01,conscious uncoupling,United States,actor
Gwyneth Paltrow,Chris Martin,2004-01-01,2015-01-01,conscious uncoupling,United States,musician
Cameron Diaz,Benji Madden,2015-01-05,,,United States,actor
Norman Mailer,Norris Church Mailer,1980-11-11,2007-11-10,,United States,actor
Halle Berry,Eric Benét,2001-01-24,2005-01-03,divorce,United States,actor
Joan Collins,Anthony Newley,1963-01-01,1971-01-01,,United Kingdom,actor
Leonid Gaidai,Nina Grebeshkova,,,,Russia,actor
Natalie Imbruglia,Daniel Johns,2003-01-01,2008-01-01,,United Kingdom,actor
Maggie Smith,Robert Stephens,1967-06-29,1975-04-06,divorce,United Kingdom,actor
Q191719,Ben Gibbard,2009-01-01,2012-01-01,,United States,actor
Q191719,Ben Gibbard,2009-01-01,2012-01-01,,United States,musician
Natasha Henstridge,Damian Chapa,1995-08-26,1996-01-01,,Canada,actor
Olympia Dukakis,Louis Zorich,1962-01-01,,,United States,actor
Simone Signoret,Yves Allégret,1944-01-01,1949-01-01,,France,actor
Natalie Imbruglia,Daniel Johns,2003-01-01,2008-01-01,,Australia,actor
Elton John,David Furnish,2014-12-21,,,United Kingdom,musician
Talia Shire,David Shire,1970-01-01,1978-01-01,,United States,actor
Linda Hamilton,Bruce Abbott,1982-01-01,1989-01-01,,United States,actor
Catherine Deneuve,David Bailey,1965-08-19,1972-01-01,,France,actor
Nancy Sinatra,Tommy Sands,1960-01-01,1965-01-01,divorce,United States,actor
Nancy Sinatra,Tommy Sands,1960-01-01,1965-01-01,divorce,United States,musician
Iman,Spencer Haywood,1977-01-01,1987-02-01,,United States,actor
Caitlyn Jenner,Kris Jenner,1991-04-21,2015-03-23,divorce,United States,actor
Anna Karina,Daniel Duval,1978-01-01,1981-01-01,,Kingdom of Denmark,actor
Suzanne Pleshette,Tom Poston,2001-01-01,2007-01-01,,United States,actor
Paul Newman,Joanne Woodward,1958-01-29,2008-09-26,death of subject,United States,actor
Gene Tierney,Oleg Cassini,1941-01-01,1952-01-01,,United States,actor
Marilyn Monroe,James Dougherty,1942-06-19,1946-09-13,divorce,United States,actor
Selena Gomez,Benny Blanco,2025-09-27,,,United States,actor
Aaron Taylor-Johnson,Sam Taylor-Johnson,2012-06-21,,,United Kingdom,actor
Brian May,Anita Dobson,2000-11-18,,,United Kingdom,actor
Olivia Newton-John,Matt Lattanzi,1984-01-01,1995-01-01,,United Kingdom,actor
Ana de Armas,Marc Clotet,2011-01-01,2013-01-01,divorce,Spain,actor
Peggy Lee,Brad Dexter,1953-01-01,1953-01-01,,United States,actor
Ana de Armas,Marc Clotet,2011-01-01,2013-01-01,divorce,United States,actor
Anjelica Huston,Q726136,1992-05-23,2008-12-27,death,United States,actor
Til Schweiger,Dana Schweiger,,,,Germany,actor
Danny Kaye,Sylvia Fine,1940-01-01,1987-01-01,,United States,actor
Deepika Padukone,Ranveer Singh,2018-11-14,,,India,actor
Danny Elfman,Bridget Fonda,2003-11-29,,,United States,actor
Olivia Newton-John,Matt Lattanzi,1984-01-01,1995-01-01,,Australia,actor
Rita Hayworth,Dick Haymes,1953-01-01,1955-01-01,,United States,actor
Elizabeth Taylor,"Conrad Hilton, Jr.",1950-05-06,1951-01-29,divorce,United States,actor
Elizabeth Taylor,"Conrad Hilton, Jr.",1950-05-06,1951-01-29,divorce,United Kingdom,actor
Leslie Caron,Peter Hall,1956-01-01,1965-01-01,,United States,actor
Françoise Hardy,Jacques Dutronc,1981-03-30,2024-01-01,marital separation,France,actor
Billy Bob Thornton,Cynda Williams,1990-01-01,1992-01-01,divorce,United States,actor
Billy Bob Thornton,Cynda Williams,1990-01-01,1992-01-01,divorce,United States,musician
Natalie Portman,Benjamin Millepied,2012-08-04,2024-02-01,divorce,United States,actor
Paul Auster,Lydia Davis,1974-01-01,1977-01-01,divorce,United States,musician
Natasha Henstridge,Darius Campbell Danesh,2011-02-14,2018-02-27,,Canada,actor
Zsa Zsa Gabor,Burhan Belge,1937-01-01,1941-01-01,,Austria–Hungary,actor
Béla Bartók,Ditta Pásztory-Bartók,1923-01-01,1945-01-01,,Hungary,musician
Serge Gainsbourg,Caroline von Paulus,1981-01-01,1991-03-02,,France,actor
Serge Gainsbourg,Caroline von Paulus,1981-01-01,1991-03-02,,France,musician
John Wayne,Esperanza Baur,1946-01-17,1954-11-01,,United States,actor
Béla Bartók,Ditta Pásztory-Bartók,1923-01-01,1945-01-01,,United States,musician
Ana de Armas,Marc Clotet,2011-01-01,2013-01-01,divorce,Cuba,actor
Milena Dravić,Dragan Nikolić,1972-12-31,2016-03-11,,Serbia,actor
Vera Farmiga,Sebastian Roché,1997-01-01,2005-01-01,,United States,actor
Bono,Ali Hewson,1982-08-21,,,Ireland,actor
